name,address,city,state,zip,total_units, Price/Unit ,net_operating_income,cap_rate,asking_price,opportunity_zone,longitude,latitude
The Narrows,6329 W Arter St,Crystal River,FL,34429,,,,,"$875,000.00 ",No,-82.53987606,28.8768711
14831 US Highway 82 W,14831 US Highway 82 W,Petty,TX,75470,10,,,,"$899,999.00 ",No,-95.8037437,33.6047324
Rochester 2.98 acres,1915 Marion Rd SE,Rochester,MN,55904,,,,,"$1,900,000.00 ",No,-92.4263271,43.993915
9631 W Selma Hwy,9631 W Selma Hwy,Casa Grande,AZ,85194,,,,,,No,-111.6711976,32.8504879
11712 SE Davis Loop Prineville OR,11712 SE Davis Loop,Prineville,OR,97754,25,,,,"$1,500,000.00 ",No,-120.8181545,44.1965063
4 duplexes with 41 mobile home lots,6408 W Flanders Ln,Crystal River,FL,34429,,,,,"$2,975,000.00 ",No,-82.5411194,28.8775155
166 Saunook Rd.,166 Saunook Rd,Waynesville,NC,28786,6,,,,"$650,000.00 ",No,-83.0449429,35.4517788
207 W Elder,207 W Elder St,Colmesneil,TX,75938,14,,$0.00 ,0.00%,"$395,000.00 ",No,-94.4247401,30.9078372
"50 N Main Hwy 22, Antimony Utah 84712",50 UT-22,Antimony,UT,84712,,,,,"$600,000.00 ",No,-112.0164445,38.1649034
27 Kayla West Drive 9 Units,27 Kayla W Dr,Pisgah Forest,NC,28768,9,,,,"$950,000.00 ",Yes,-82.692576,35.2701339
Mobile Home Estates 1001-1308,1001 John Wayne Dr,Robstown,TX,78380,8,,,,"$267,000.00 ",No,-97.6844341,27.7832199
Yankee Rd Mobile Home Park,417 Yankee Rd,Judsonia,AR,72081,3,"$45,533 ","$13,662.00 ",10.00%,"$136,600.00 ",No,-91.6426173,35.3361311
Engineered 18 Unit MHP - Mixed Use - No Zoning,Saccharin Ln,Bunker Hill,WV,25413,18,,,,"$315,000.00 ",No,-78.06894283,39.3038567
Maplewood Mobile Home Park,2625 W Maplewood Ave,Bellingham,WA,98225,,,"$111,960.00 ",4.76%,"$2,350,000.00 ",No,-122.4996622,48.7754475
Multiple s Highway 231,Multiple #s Highway 231,Laceys Spring,AL,35754,,,,,"$789,900.00 ",No,-86.5888761,34.5231621
OAK FORREST MOBILE HOME PARK,37828 Oak Forrest Dr,Dade City,FL,33523,9,,,8.00%,"$900,000.00 ",No,-82.1896114,28.4729129
2760 Panhandle Road Mobile Home Park,2760 Panhandle Rd,Marianna,FL,32446,8,"$98,750 ","$44,510.00 ",5.63%,"$790,000.00 ",No,-85.1978581,30.7650657
2614 Springhill Road MHP Mobile Home Park,2614 Springhill Rd,Bonifay,FL,32425,10,"$82,500 ","$58,784.00 ",7.13%,"$825,000.00 ",No,-85.712975,30.7558761
Longmont Mobile Home Park,10 9th Ave,Longmont,CO,80501,28,"$160,714 ",,,"$4,500,000.00 ",No,-105.0934611,40.1743735
Salmon River RV Park,6029 Salmon River Hwy,Otis,OR,97368,41,,,7.34%,"$2,500,000.00 ",No,-123.8699272,45.01791759
10610 Ranch Road 1431,10610 RM 1431,Buchanan Dam,TX,78609,,,,,"$265,000.00 ",No,-98.462433,30.7595291
Martin LN,21602 Martin Ln,Pflugerville,TX,78660,,,,,"$2,700,000.00 ",No,-97.6005786,30.4332061
Brumskill Mobile Home Park,15 Brumskill Ct,Powhatan,VA,23139,,"$57,143 ",,,"$400,000.00 ",No,-78.134903,37.478504
27 Main st,27 Main St,Sinclairville,NY,14782,13,,"$42,000.00 ",11.35%,"$369,900.00 ",No,-79.2587534,42.264053
Elm Grove Mobile Home Village,2201 Research Blvd,Lubbock,TX,79407,24,,,,"$700,000.00 ",No,-102.0264239,33.57368154
7 Palms Mobile Home Park,42 W Cherry Creek Rd,Cloverdale,CA,95425,44,"$118,750 ","$315,564.00 ",6.04%,"$5,225,000.00 ",No,-123.0202202,38.7948583
Mobile Home Park,1424 Hwy 24,Prescott,AR,71726,,,"$44,400.00 ",,"$180,000.00 ",Yes,-92.9622611,33.6399887
1004 N Oklahoma Street Mobile Home Park,1004 N Oklahoma St,Bonifay,FL,32425,7,"$75,000 ","$27,683.00 ",5.27%,"$525,000.00 ",No,-85.6779891,30.8014255
Mobile Home 4289 Royal Manor Blvd 129,4289 Royal Manor Blvd,Boynton Beach,FL,33436,,,,,"$85,000.00 ",No,-80.1112073,26.5458555
Cash Flow Mobile Home Park Near San Marcos,83 Roots Rd,Martindale,TX,78655,6,,,7.50%,"$875,000.00 ",No,NA,NA
1181 Jay Burke Rd,1181 Jay Burke Rd,Township of Taylorsville,NC,28681,,,,,"$475,000.00 ",No,-81.166279,35.9455876
100 Main Dayton,100 US-14,Ranchester,WY,82839,2,,"$40,800.00 ",9.07%,"$449,900.00 ",No,-107.2627084,44.87762846
2 Unrestricted City Lots for Mobile Home Park or RV Park,1025 E Pearson St,Freer,TX,78357,5,,,,"$13,000.00 ",No,-98.60698245,27.88114277
Troup Trailer Park,302 E McKay St,Troup,TX,75789,,,,,"$345,000.00 ",Yes,-95.1182424,32.1472155
Undisclosed,undisclosed,undisclosed,FL,0,,,,,,No,NA,NA
Oak Meadows RV Park at Canyon Lake,1310 Harcourt,Canyon Lake,TX,78133,22,,"$90,523.00 ",7.54%,"$1,200,000.00 ",No,-98.2769055,29.9467568
Mail Forwarding,713 W Spruce St,Deming,NM,88030,6,,,,"$335,000.00 ",Yes,-107.766863,32.26656144
Multer,4722 Calhoun Dr,Liberty,NC,27298,,,,,"$600,000.00 ",Yes,-79.6515858,35.9007578
1.79 Acres with a Mobile Home Park,304 Jefferson St,Monticello,MS,39654,8,,,,"$250,000.00 ",No,-90.1059506,31.5508049
8.61 Acres in Oktibbeha,8.61 Acres in Oktibbeha,Starkville,MS,39759,,,,,"$127,500.00 ",No,-88.8083228,33.4697365
Sevierville Manufactured Home Park,2536 Newport Hwy,Sevierville,TN,37876,6,"$150,000 ","$45,000.00 ",6.00%,"$750,000.00 ",No,-83.4520837,35.8861895
Ameron Estates Mobile Home Park,455 W Davis Loop,Vidor,TX,77662,17,"$86,765 ","$149,424.00 ",10.13%,"$1,475,000.00 ",No,-94.02145997,30.13014882
Sugar Court Mobile Home Park,270 S Walnut St,Lyons,IN,47443,,"$30,952 ",,,"$650,000.00 ",No,-87.0848427,38.9864023
2384 FL HWY 73 Mobile Home Park,2384 FL-73,Marianna,FL,32448,9,"$87,778 ","$46,601.00 ",5.90%,"$790,000.00 ",No,-85.2298052,30.7385311
Residential Investment,963 N Bucks Pocket Rd SE,Old Fort,TN,37362,7,,,,"$575,000.00 ",No,-84.7706723,35.0396418
Aurora RV Park Nice CA,2985 Lakeshore Blvd,Upper Lake,CA,95485,,,,,"$3,750,000.00 ",No,-122.8565223,39.1209094
RV Park  304 E York,304 E York St,Ganado,TX,77962,,,,,"$368,599.00 ",No,-96.50934356,29.04709913
1631 Gault Road,1631 Gault Rd,Houston,TX,77039,,,,,"$700,000.00 ",No,-95.3608143,29.9208755
"208 E Pease, 304 N Walnut",208 E Pease St,Heyworth,IL,61745,,"$10,926 ",,,"$295,000.00 ",No,NA,NA
Roller Trailer Park,287 S Oak Ave,Sparta,MO,65753,,,,,"$350,000.00 ",No,-93.08286094,36.99778636
Lakeview RV Estates,2088 State Hwy Y,Foley,MO,63347,15,"$60,000 ",,,"$900,000.00 ",No,-90.8486476,39.046042
945 HWY 92 Crawford,945 HWY 92 Crawford,Crawford,CO,81415,8,,,,"$899,000.00 ",No,-107.614656,38.7059515
Oasis RV Park,107 Spur 57,Wickett,TX,79788,,$450 ,,,"$385,000.00 ",No,-102.9980946,31.5656911
Mobile home park in Florence SC,203 W Conyers Ave,Florence,SC,29505,,,,,"$650,000.00 ",No,-79.767697,34.1628334
Boxwood Tiny Homes Community,150 Magnolia,Kingsland,TX,78639,14,,,,"$745,000.00 ",No,-98.4478996,30.6583174
125 Harris Creek Loop Road,125 Harris Creek Loop Rd,Jacksonville,NC,28540,4,,,,"$150,000.00 ",No,-77.547914,34.723255
RV Park at Fort Gibson Lake,34194 E 700 Rd,Wagoner,OK,74467,,,,,"$165,500.00 ",No,-95.2771424,36.0024689
3209 S County Rd 1130,3209 S County Rd 1130,Midland,TX,79706,,,,,"$200,000.00 ",No,-101.9689513,31.9197992
PAW PAWS PLACE RV PARK,1083 Jack Delaigle Rd,Waynesboro,GA,30830,,,,,"$499,000.00 ",No,-81.80659426,33.11597242
7.38 Acres in Rankin County,7.38 Acres in Rankin County,Pelahatchie,MS,39145,2,,,,"$142,500.00 ",No,-89.7942892,32.2879058
Jefferson Street MHP,56 Jefferson St,Norwalk,OH,44857,8,"$22,990 ","$27,981.00 ",12.17%,"$229,900.00 ",No,-82.62618004,41.24205888
"614 616 Moorestown Drive, Moore Twp PA, 18014-9715",614 Moorestown Dr,Bath,PA,18014,,,,,"$599,900.00 ",No,-75.3680141,40.7819593
Highway Z,State Hwy Z,St Robert,MO,65584,,,,,"$79,900.00 ",No,-92.1292959,37.82403151
Park Place Mobile Home  RV Park,140 Landfill Rd,Pocahontas,AR,72455,40,,,,"$595,750.00 ",No,-91.0019788,36.2689408
